date,source,bankrupts,lose_a_turns,players,url,data_available
2021-09-13,WordPress,0.0,4.0,"[{'name': 'Somsack', 'winnings': 600, 'gender': 'Unknown', 'position': 1}, {'name': 'Bonnie', 'winnings': 900, 'gender': 'M', 'position': 2}, {'name': 'Bonnie', 'winnings': 700, 'gender': 'M', 'position': 3}, {'name': 'Allison', 'winnings': 500, 'gender': 'M', 'position': 4}, {'name': 'Somsack', 'winnings': 1, 'gender': 'Unknown', 'position': 5}, {'name': 'Bonnie', 'winnings': 1400, 'gender': 'M', 'position': 6}, {'name': 'Allison', 'winnings': 1200, 'gender': 'M', 'position': 7}, {'name': 'Allison', 'winnings': 14450, 'gender': 'M', 'position': 8}, {'name': 'Somsack', 'winnings': 8050, 'gender': 'Unknown', 'position': 9}, {'name': 'Somsack', 'winnings': 3600, 'gender': 'Unknown', 'position': 10}, {'name': 'Allison', 'winnings': 2700, 'gender': 'M', 'position': 11}, {'name': 'Allison', 'winnings': 27575, 'gender': 'M', 'position': 12}, {'name': 'Somsack', 'winnings': 8050, 'gender': 'Unknown', 'position': 13}, {'name': 'Allison', 'winnings': 42225, 'gender': 'M', 'position': 14}, {'name': 'Somsack', 'winnings': 8050, 'gender': 'Unknown', 'position': 15}]",https://andynwof.wordpress.com/2021/09/13/wof-recap-september-13-2021/,True
2021-09-14,WordPress,3.0,0.0,"[{'name': 'Andre', 'winnings': 1400, 'gender': 'M', 'position': 1}, {'name': 'Jason', 'winnings': 1400, 'gender': 'M', 'position': 2}, {'name': 'Andre', 'winnings': 500, 'gender': 'M', 'position': 3}, {'name': 'Andre', 'winnings': 4400, 'gender': 'M', 'position': 4}, {'name': 'Jason', 'winnings': 2100, 'gender': 'M', 'position': 5}, {'name': 'Lyndsey', 'winnings': 3, 'gender': 'M', 'position': 6}, {'name': 'Jason', 'winnings': 1200, 'gender': 'M', 'position': 7}, {'name': 'Lyndsey', 'winnings': 850, 'gender': 'M', 'position': 8}, {'name': 'Andre', 'winnings': 4400, 'gender': 'M', 'position': 9}, {'name': 'Jason', 'winnings': 2100, 'gender': 'M', 'position': 10}, {'name': 'Lyndsey', 'winnings': 17600, 'gender': 'M', 'position': 11}, {'name': 'Andre', 'winnings': 11350, 'gender': 'M', 'position': 12}, {'name': 'Jason', 'winnings': 4100, 'gender': 'M', 'position': 13}, {'name': 'Lyndsey', 'winnings': 19600, 'gender': 'M', 'position': 14}]",https://andynwof.wordpress.com/2021/09/14/wof-recap-september-14-2021/,True
2021-09-15,WordPress,3.0,0.0,"[{'name': 'Michelle', 'winnings': 1400, 'gender': 'M', 'position': 1}, {'name': 'Darren', 'winnings': 1, 'gender': 'M', 'position': 2}, {'name': 'Darren', 'winnings': 2600, 'gender': 'M', 'position': 3}, {'name': 'Michelle', 'winnings': 9700, 'gender': 'M', 'position': 4}, {'name': 'Darren', 'winnings': 500, 'gender': 'M', 'position': 5}, {'name': 'Michelle', 'winnings': 1400, 'gender': 'M', 'position': 6}, {'name': 'Darren', 'winnings': 2600, 'gender': 'M', 'position': 7}, {'name': 'Michelle', 'winnings': 20956, 'gender': 'M', 'position': 8}, {'name': 'Darren', 'winnings': 7800, 'gender': 'M', 'position': 9}, {'name': 'Michelle', 'winnings': 20956, 'gender': 'M', 'position': 10}]",https://andynwof.wordpress.com/2021/09/15/wof-recap-september-15-2021/,True
2021-09-16,WordPress,5.0,2.0,"[{'name': 'Rob', 'winnings': 900, 'gender': 'M', 'position': 1}, {'name': 'Erendida', 'winnings': 500, 'gender': 'Unknown', 'position': 2}, {'name': 'Emily', 'winnings': 2, 'gender': 'M', 'position': 3}, {'name': 'Emily', 'winnings': 1500, 'gender': 'M', 'position': 4}, {'name': 'Erendida', 'winnings': 3500, 'gender': 'Unknown', 'position': 5}, {'name': 'Erendida', 'winnings': 7350, 'gender': 'Unknown', 'position': 6}, {'name': 'Others', 'winnings': 2, 'gender': 'Unknown', 'position': 7}, {'name': 'Emily', 'winnings': 500, 'gender': 'M', 'position': 8}, {'name': 'Bank', 'winnings': 2, 'gender': 'Unknown', 'position': 9}, {'name': 'Rob', 'winnings': 2, 'gender': 'M', 'position': 10}, {'name': 'Erendida', 'winnings': 7350, 'gender': 'Unknown', 'position': 11}, {'name': 'Emily', 'winnings': 9990, 'gender': 'M', 'position': 12}, {'name': 'Rob', 'winnings': 6, 'gender': 'M', 'position': 13}, {'name': 'Erendida', 'winnings': 15100, 'gender': 'Unknown', 'position': 14}, {'name': 'Emily', 'winnings': 11990, 'gender': 'M', 'position': 15}]",https://andynwof.wordpress.com/2021/09/16/wof-recap-september-16-2021/,True
2021-09-17,WordPress,0.0,2.0,"[{'name': 'Jim', 'winnings': 700, 'gender': 'M', 'position': 1}, {'name': 'Jim', 'winnings': 650, 'gender': 'M', 'position': 2}, {'name': 'Raquel', 'winnings': 1, 'gender': 'M', 'position': 3}, {'name': 'Kionna', 'winnings': 2, 'gender': 'Unknown', 'position': 4}, {'name': 'Jim', 'winnings': 6750, 'gender': 'M', 'position': 5}, {'name': 'Raquel', 'winnings': 1200, 'gender': 'M', 'position': 6}, {'name': 'Raquel', 'winnings': 14534, 'gender': 'M', 'position': 7}, {'name': 'Kionna', 'winnings': 2, 'gender': 'Unknown', 'position': 8}, {'name': 'Jim', 'winnings': 6750, 'gender': 'M', 'position': 9}, {'name': 'Jim', 'winnings': 1200, 'gender': 'M', 'position': 10}, {'name': 'Raquel', 'winnings': 500, 'gender': 'M', 'position': 11}, {'name': 'Raquel', 'winnings': 14534, 'gender': 'M', 'position': 12}, {'name': 'Kionna', 'winnings': 4, 'gender': 'Unknown', 'position': 13}, {'name': 'Jim', 'winnings': 17900, 'gender': 'M', 'position': 14}]",https://andynwof.wordpress.com/2021/09/17/wof-recap-september-17-2021/,True
2021-09-20,WordPress,1.0,0.0,"[{'name': 'Kathy', 'winnings': 1650, 'gender': 'M', 'position': 1}, {'name': 'Kathy', 'winnings': 1800, 'gender': 'M', 'position': 2}, {'name': 'Sal', 'winnings': 3500, 'gender': 'M', 'position': 3}, {'name': 'Jacob', 'winnings': 650, 'gender': 'M', 'position': 4}, {'name': 'Kathy', 'winnings': 500, 'gender': 'M', 'position': 5}, {'name': 'Jacob', 'winnings': 1, 'gender': 'M', 'position': 6}, {'name': 'Kathy', 'winnings': 7150, 'gender': 'M', 'position': 7}, {'name': 'Jacob', 'winnings': 1, 'gender': 'M', 'position': 8}, {'name': 'Jacob', 'winnings': 16200, 'gender': 'M', 'position': 9}, {'name': 'Kathy', 'winnings': 7150, 'gender': 'M', 'position': 10}, {'name': 'Sal', 'winnings': 1, 'gender': 'M', 'position': 11}, {'name': 'Jacob', 'winnings': 21900, 'gender': 'M', 'position': 12}, {'name': 'Kathy', 'winnings': 11150, 'gender': 'M', 'position': 13}]",https://andynwof.wordpress.com/2021/09/20/wof-recap-september-20-2021/,True
2021-09-21,WordPress,4.0,2.0,"[{'name': 'Nicole', 'winnings': 600, 'gender': 'M', 'position': 1}, {'name': 'Lionel', 'winnings': 550, 'gender': 'M', 'position': 2}, {'name': 'Maria', 'winnings': 600, 'gender': 'M', 'position': 3}, {'name': 'Maria', 'winnings': 1400, 'gender': 'M', 'position': 4}, {'name': 'Lionel', 'winnings': 700, 'gender': 'M', 'position': 5}, {'name': 'Maria', 'winnings': 3800, 'gender': 'M', 'position': 6}, {'name': 'Lionel', 'winnings': 3600, 'gender': 'M', 'position': 7}, {'name': 'Nicole', 'winnings': 650, 'gender': 'M', 'position': 8}, {'name': 'Lionel', 'winnings': 1950, 'gender': 'M', 'position': 9}, {'name': 'Maria', 'winnings': 3800, 'gender': 'M', 'position': 10}, {'name': 'Nicole', 'winnings': 9264, 'gender': 'M', 'position': 11}, {'name': 'Lionel', 'winnings': 3600, 'gender': 'M', 'position': 12}, {'name': 'Nicole', 'winnings': 1300, 'gender': 'M', 'position': 13}, {'name': 'Maria', 'winnings': 3800, 'gender': 'M', 'position': 14}, {'name': 'Nicole', 'winnings': 13264, 'gender': 'M', 'position': 15}, {'name': 'Lionel', 'winnings': 7450, 'gender': 'M', 'position': 16}]",https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/,True
2021-09-22,WordPress,2.0,0.0,"[{'name': 'Debbie', 'winnings': 1700, 'gender': 'M', 'position': 1}, {'name': 'Julee', 'winnings': 1, 'gender': 'Unknown', 'position': 2}, {'name': 'Debbie', 'winnings': 600, 'gender': 'M', 'position': 3}, {'name': 'Julee', 'winnings': 500, 'gender': 'Unknown', 'position': 4}, {'name': 'Hunter', 'winnings': 1, 'gender': 'M', 'position': 5}, {'name': 'Ladies', 'winnings': 2, 'gender': 'Unknown', 'position': 6}, {'name': 'Hunter', 'winnings': 500, 'gender': 'M', 'position': 7}, {'name': 'Julee', 'winnings': 1300, 'gender': 'Unknown', 'position': 8}, {'name': 'Hunter', 'winnings': 700, 'gender': 'M', 'position': 9}, {'name': 'Hunter', 'winnings': 12550, 'gender': 'M', 'position': 10}, {'name': 'Ladies', 'winnings': 2, 'gender': 'Unknown', 'position': 11}, {'name': 'Hunter', 'winnings': 14550, 'gender': 'M', 'position': 12}, {'name': 'Debbie', 'winnings': 2, 'gender': 'M', 'position': 13}, {'name': 'Julee', 'winnings': 7700, 'gender': 'Unknown', 'position': 14}]",https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/,True
2021-09-23,WordPress,2.0,2.0,"[{'name': 'Cynthia', 'winnings': 1200, 'gender': 'M', 'position': 1}, {'name': 'Cynthia', 'winnings': 1400, 'gender': 'M', 'position': 2}, {'name': 'Giovanni', 'winnings': 1200, 'gender': 'M', 'position': 3}, {'name': 'Giovanni', 'winnings': 10500, 'gender': 'M', 'position': 4}, {'name': 'Aly', 'winnings': 3, 'gender': 'M', 'position': 5}, {'name': 'Giovanni', 'winnings': 1, 'gender': 'M', 'position': 6}, {'name': 'Giovanni', 'winnings': 19500, 'gender': 'M', 'position': 7}, {'name': 'Aly', 'winnings': 3, 'gender': 'M', 'position': 8}, {'name': 'Aly', 'winnings': 1200, 'gender': 'M', 'position': 9}, {'name': 'Cynthia', 'winnings': 650, 'gender': 'M', 'position': 10}, {'name': 'Giovanni', 'winnings': 5, 'gender': 'M', 'position': 11}, {'name': 'Cynthia', 'winnings': 1, 'gender': 'M', 'position': 12}, {'name': 'Giovanni', 'winnings': 27500, 'gender': 'M', 'position': 13}, {'name': 'Aly', 'winnings': 13, 'gender': 'M', 'position': 14}]",https://andynwof.wordpress.com/2021/09/23/wof-recap-september-23-2021/,True
2021-09-24,WordPress,3.0,2.0,"[{'name': 'Jacob', 'winnings': 1600, 'gender': 'M', 'position': 1}, {'name': 'Pam', 'winnings': 1800, 'gender': 'M', 'position': 2}, {'name': 'Jacob', 'winnings': 1300, 'gender': 'M', 'position': 3}, {'name': 'Jacob', 'winnings': 700, 'gender': 'M', 'position': 4}, {'name': 'Jacob', 'winnings': 1400, 'gender': 'M', 'position': 5}, {'name': 'Pam', 'winnings': 1, 'gender': 'M', 'position': 6}, {'name': 'Jacob', 'winnings': 10150, 'gender': 'M', 'position': 7}, {'name': 'Pam', 'winnings': 1, 'gender': 'M', 'position': 8}, {'name': 'Renee', 'winnings': 11770, 'gender': 'M', 'position': 9}, {'name': 'Jacob', 'winnings': 10150, 'gender': 'M', 'position': 10}, {'name': 'Pam', 'winnings': 650, 'gender': 'M', 'position': 11}, {'name': 'Pam', 'winnings': 11, 'gender': 'M', 'position': 12}, {'name': 'Renee', 'winnings': 13570, 'gender': 'M', 'position': 13}, {'name': 'Jacob', 'winnings': 10150, 'gender': 'M', 'position': 14}]",https://andynwof.wordpress.com/2021/09/24/wof-recap-september-24-2021/,True
